DATETIME_DOWN,DATETIME_UP,SENSOR_ID,PERSON_IN_CHARGE_ID,ATTEMPTS
,2022-06-25T00:38:07.156569-05:00,1,1,0
,2022-06-25T00:38:07.156569-05:00,2,1,0
2022-06-25T00:39:10.955822-05:00,2022-06-25T00:48:05.806657-05:00,1,1,4
2022-06-25T00:49:02.699105-05:00,2022-06-25T00:57:55.216884-05:00,1,1,11
2022-06-25T01:00:12.166931-05:00,2022-06-25T01:02:56.120856-05:00,1,1,5
2022-06-25T01:12:01.344944-05:00,2022-06-25T01:13:55.597777-05:00,1,1,1
2022-06-25T01:21:16.547542-05:00,2022-06-25T01:31:23.788964-05:00,1,1,4
2022-06-25T02:19:38.751885-05:00,2022-06-25T03:09:58.055204-05:00,1,1,51
2022-06-25T16:42:22.699078-05:00,,4,1,1274
2022-06-25T16:53:39.480573-05:00,2022-06-30T17:12:32.945281-05:00,3,1,173
2022-06-25T18:38:44.947678-05:00,2022-06-25T18:44:13.107337-05:00,1,1,1
2022-06-28T16:57:00.229897-05:00,2022-06-28T18:33:04.669189-05:00,1,1,1
2022-06-28T17:14:23.285313-05:00,2022-08-08T14:10:30.057766-05:00,5,1,853
2022-06-28T17:14:23.285313-05:00,2022-07-03T23:41:07.109962-05:00,6,1,165
2022-06-28T18:33:04.669189-05:00,2022-06-28T20:24:07.573558-05:00,2,1,2
2022-06-30T14:09:18.288528-05:00,2022-06-30T15:12:48.118118-05:00,2,1,0
2022-06-30T16:10:38.063521-05:00,2022-06-30T21:41:19.785349-05:00,2,1,2
2022-07-04T22:39:03.973367-05:00,2022-07-05T15:13:24.340185-05:00,6,1,16
,2022-07-05T15:13:24.340185-05:00,7,1,0
2022-07-06T20:07:41.261072-05:00,2022-07-22T11:20:09.737684-05:00,6,1,271
2022-07-19T23:34:58.672378-05:00,2022-07-20T05:13:15.187002-05:00,1,1,5
2022-07-22T14:09:55.127207-05:00,2022-07-22T15:13:33.624037-05:00,2,1,0
2022-07-22T18:11:58.618329-05:00,2022-07-22T20:05:56.446160-05:00,7,1,0
2022-07-23T06:10:50.639179-05:00,2022-07-27T18:12:17.441984-05:00,6,1,86
2022-07-23T15:12:25.820521-05:00,2022-07-23T20:12:04.755147-05:00,1,1,3
2022-07-23T16:10:50.617063-05:00,2022-07-23T20:12:04.755147-05:00,7,1,2
2022-07-24T04:12:07.559870-05:00,2022-07-24T05:12:52.023331-05:00,7,1,0
2022-07-27T18:12:17.441984-05:00,2022-07-27T20:06:29.677218-05:00,7,1,0
2022-07-28T17:11:22.964731-05:00,2022-07-28T22:47:50.552076-05:00,2,1,2
2022-07-29T16:10:33.993637-05:00,2022-07-29T20:02:08.807419-05:00,1,1,2
2022-07-29T18:12:12.603271-05:00,2022-08-07T08:22:25.032548-05:00,6,1,175
2022-08-01T05:14:51.012297-05:00,2022-08-01T07:24:21.621403-05:00,7,1,1
2022-08-01T15:15:27.053619-05:00,2022-08-01T16:11:04.563384-05:00,7,1,0
2022-08-02T14:10:03.034316-05:00,2022-08-02T16:11:19.841207-05:00,3,1,1
2022-08-03T14:10:11.215166-05:00,2022-08-03T15:13:30.587839-05:00,7,1,0
2022-08-03T16:11:20.885956-05:00,2022-08-08T15:13:52.783456-05:00,7,1,108
2022-08-07T09:10:36.432369-05:00,2022-08-07T13:14:31.981828-05:00,6,1,3
2022-08-07T16:10:24.316493-05:00,2022-08-07T17:11:43.869136-05:00,2,1,0
2022-08-08T16:11:07.232689-05:00,2022-08-08T17:13:25.012525-05:00,7,1,0
2022-08-08T20:12:36.925127-05:00,2022-08-08T23:35:28.342100-05:00,7,1,1
,2022-08-09T09:15:48.899973-05:00,8,1,0
,2022-08-09T09:15:48.899973-05:00,9,2,0
2022-08-11T09:10:50.939051-05:00,2022-08-11T10:13:08.803255-05:00,7,1,0
2022-08-12T02:11:14.514582-05:00,2022-08-12T08:36:54.683384-05:00,7,1,5
2022-08-12T20:00:21.816997-05:00,2022-08-12T21:59:45.449131-05:00,8,1,0
2022-08-12T22:47:25.450674-05:00,2022-08-13T02:11:50.556107-05:00,8,1,3
2022-08-13T03:15:12.908713-05:00,2022-08-13T05:12:58.213877-05:00,8,1,1
2022-08-13T22:26:44.145117-05:00,2022-08-16T14:09:49.399686-05:00,5,1,56
2022-08-16T15:13:19.970397-05:00,2022-08-16T22:54:10.374852-05:00,5,1,4
2022-08-17T04:13:21.828347-05:00,2022-08-17T07:26:29.270940-05:00,2,1,2
2022-08-17T04:13:21.828347-05:00,2022-08-19T14:09:47.757672-05:00,3,1,52
2022-08-17T11:17:51.531226-05:00,2022-08-17T13:14:55.372850-05:00,9,2,1
2022-08-17T14:09:42.185489-05:00,2022-08-17T17:11:55.343006-05:00,7,1,2
2022-08-20T03:15:48.792817-05:00,2022-08-20T16:11:12.453783-05:00,8,1,11
2022-08-20T10:12:12.547697-05:00,2022-08-20T12:13:04.248122-05:00,6,1,1
2022-08-20T14:09:51.808045-05:00,2022-08-20T20:05:16.218579-05:00,9,2,4
2022-08-20T15:12:48.016045-05:00,2022-08-23T18:12:21.195503-05:00,7,1,60
2022-08-24T12:14:31.241851-05:00,2022-08-24T14:12:00.024098-05:00,5,1,1
